date,datetime,wait_time(posted),wait_time(actual)
2018-01-01,2018-01-01 19:09:00,,34.0
2018-01-01,2018-01-01 19:51:00,30.0,
2018-01-01,2018-01-01 19:56:00,30.0,
2018-01-01,2018-01-01 19:59:00,15.0,
2018-01-01,2018-01-01 20:07:00,-999.0,
2018-01-02,2018-01-02 07:54:00,5.0,
2018-01-02,2018-01-02 08:03:00,15.0,
2018-01-02,2018-01-02 08:03:00,15.0,
2018-01-02,2018-01-02 08:10:00,20.0,
2018-01-02,2018-01-02 08:15:00,55.0,
2018-01-02,2018-01-02 08:19:00,55.0,
2018-01-02,2018-01-02 08:24:00,55.0,
2018-01-02,2018-01-02 08:26:00,65.0,
2018-01-02,2018-01-02 08:32:00,65.0,
2018-01-02,2018-01-02 08:40:00,65.0,
2018-01-02,2018-01-02 08:19:00,,28.0
2018-01-02,2018-01-02 08:47:00,90.0,
2018-01-02,2018-01-02 08:52:00,90.0,
2018-01-02,2018-01-02 08:58:00,90.0,
2018-01-02,2018-01-02 08:59:00,90.0,
2018-01-02,2018-01-02 09:05:00,120.0,
2018-01-02,2018-01-02 09:10:00,120.0,
2018-01-02,2018-01-02 09:17:00,120.0,
2018-01-02,2018-01-02 09:24:00,120.0,
2018-01-02,2018-01-02 09:30:00,120.0,
2018-01-02,2018-01-02 09:35:00,120.0,
2018-01-02,2018-01-02 09:38:00,120.0,
2018-01-02,2018-01-02 09:47:00,120.0,
2018-01-02,2018-01-02 09:52:00,120.0,
2018-01-02,2018-01-02 10:01:00,120.0,
2018-01-02,2018-01-02 10:05:00,120.0,
2018-01-02,2018-01-02 10:14:00,120.0,
2018-01-02,2018-01-02 10:19:00,120.0,
2018-01-02,2018-01-02 10:24:00,120.0,
2018-01-02,2018-01-02 10:32:00,120.0,
2018-01-02,2018-01-02 10:38:00,120.0,
2018-01-02,2018-01-02 10:45:00,120.0,
2018-01-02,2018-01-02 10:52:00,120.0,
2018-01-02,2018-01-02 11:03:00,120.0,
2018-01-02,2018-01-02 11:05:00,120.0,
2018-01-02,2018-01-02 11:10:00,120.0,
2018-01-02,2018-01-02 11:17:00,120.0,
2018-01-02,2018-01-02 11:24:00,120.0,
2018-01-02,2018-01-02 11:36:00,130.0,
2018-01-02,2018-01-02 11:38:00,130.0,
2018-01-02,2018-01-02 11:49:00,130.0,
2018-01-02,2018-01-02 11:58:00,150.0,
2018-01-02,2018-01-02 11:59:00,150.0,
2018-01-02,2018-01-02 12:07:00,160.0,
2018-01-02,2018-01-02 12:10:00,160.0,
2018-01-02,2018-01-02 12:21:00,170.0,
2018-01-02,2018-01-02 12:24:00,170.0,
2018-01-02,2018-01-02 12:30:00,170.0,
2018-01-02,2018-01-02 12:44:00,170.0,
2018-01-02,2018-01-02 12:45:00,170.0,
2018-01-02,2018-01-02 12:52:00,170.0,
2018-01-02,2018-01-02 13:03:00,170.0,
2018-01-02,2018-01-02 13:03:00,170.0,
2018-01-02,2018-01-02 13:14:00,170.0,
2018-01-02,2018-01-02 13:19:00,165.0,
2018-01-02,2018-01-02 13:24:00,165.0,
2018-01-02,2018-01-02 13:34:00,165.0,
2018-01-02,2018-01-02 13:38:00,165.0,
2018-01-02,2018-01-02 13:47:00,165.0,
2018-01-02,2018-01-02 13:54:00,165.0,
2018-01-02,2018-01-02 13:59:00,165.0,
2018-01-02,2018-01-02 14:05:00,165.0,
2018-01-02,2018-01-02 14:12:00,165.0,
2018-01-02,2018-01-02 14:19:00,170.0,
2018-01-02,2018-01-02 14:24:00,170.0,
2018-01-02,2018-01-02 14:30:00,170.0,
2018-01-02,2018-01-02 14:38:00,170.0,
2018-01-02,2018-01-02 14:47:00,170.0,
2018-01-02,2018-01-02 14:54:00,170.0,
2018-01-02,2018-01-02 14:59:00,170.0,
2018-01-02,2018-01-02 15:05:00,170.0,
2018-01-02,2018-01-02 15:18:00,170.0,
2018-01-02,2018-01-02 15:21:00,170.0,
2018-01-02,2018-01-02 15:28:00,150.0,
2018-01-02,2018-01-02 15:36:00,150.0,
2018-01-02,2018-01-02 15:38:00,150.0,
2018-01-02,2018-01-02 15:51:00,150.0,
2018-01-02,2018-01-02 15:52:00,150.0,
2018-01-02,2018-01-02 16:01:00,150.0,
2018-01-02,2018-01-02 16:07:00,150.0,
2018-01-02,2018-01-02 16:14:00,150.0,
2018-01-02,2018-01-02 16:17:00,150.0,
2018-01-02,2018-01-02 16:26:00,150.0,
2018-01-02,2018-01-02 16:30:00,150.0,
2018-01-02,2018-01-02 16:44:00,150.0,
2018-01-02,2018-01-02 16:45:00,150.0,
2018-01-02,2018-01-02 16:52:00,155.0,
2018-01-02,2018-01-02 16:59:00,155.0,
2018-01-02,2018-01-02 17:03:00,155.0,
2018-01-02,2018-01-02 17:12:00,160.0,
2018-01-02,2018-01-02 17:17:00,160.0,
2018-01-02,2018-01-02 17:26:00,160.0,
2018-01-02,2018-01-02 17:32:00,160.0,
2018-01-02,2018-01-02 17:40:00,150.0,
2018-01-02,2018-01-02 17:45:00,150.0,
2018-01-02,2018-01-02 17:52:00,150.0,
2018-01-02,2018-01-02 17:59:00,140.0,
2018-01-02,2018-01-02 18:05:00,140.0,
2018-01-02,2018-01-02 18:10:00,140.0,
2018-01-02,2018-01-02 18:19:00,140.0,
2018-01-02,2018-01-02 18:26:00,135.0,
2018-01-02,2018-01-02 18:32:00,135.0,
2018-01-02,2018-01-02 18:40:00,135.0,
2018-01-02,2018-01-02 18:45:00,150.0,
2018-01-02,2018-01-02 18:52:00,150.0,
2018-01-02,2018-01-02 18:59:00,150.0,
2018-01-02,2018-01-02 19:03:00,150.0,
2018-01-02,2018-01-02 19:14:00,130.0,
2018-01-02,2018-01-02 19:19:00,130.0,
2018-01-02,2018-01-02 19:24:00,95.0,
2018-01-02,2018-01-02 19:30:00,95.0,
2018-01-02,2018-01-02 19:40:00,95.0,
2018-01-02,2018-01-02 19:45:00,95.0,
2018-01-02,2018-01-02 19:52:00,95.0,
2018-01-02,2018-01-02 19:59:00,95.0,
2018-01-02,2018-01-02 20:05:00,-999.0,
2018-01-03,2018-01-03 07:56:00,5.0,
2018-01-03,2018-01-03 08:03:00,5.0,
2018-01-03,2018-01-03 08:07:00,5.0,
2018-01-03,2018-01-03 08:12:00,5.0,
2018-01-03,2018-01-03 08:17:00,5.0,
2018-01-03,2018-01-03 08:20:00,10.0,
2018-01-03,2018-01-03 08:22:00,10.0,
2018-01-03,2018-01-03 08:24:00,15.0,
2018-01-03,2018-01-03 08:29:00,15.0,
2018-01-03,2018-01-03 08:32:00,40.0,
2018-01-03,2018-01-03 08:22:00,,10.0
2018-01-03,2018-01-03 08:37:00,60.0,
2018-01-03,2018-01-03 08:38:00,60.0,
2018-01-03,2018-01-03 08:45:00,80.0,
2018-01-03,2018-01-03 08:46:00,-999.0,
2018-01-03,2018-01-03 08:52:00,80.0,
2018-01-03,2018-01-03 08:59:00,-999.0,
2018-01-03,2018-01-03 09:05:00,-999.0,
2018-01-03,2018-01-03 09:10:00,-999.0,
2018-01-03,2018-01-03 09:13:00,95.0,
2018-01-03,2018-01-03 09:17:00,95.0,
2018-01-03,2018-01-03 09:26:00,95.0,
2018-01-03,2018-01-03 09:30:00,95.0,
2018-01-03,2018-01-03 09:38:00,95.0,
2018-01-03,2018-01-03 09:49:00,95.0,
2018-01-03,2018-01-03 09:52:00,85.0,
2018-01-03,2018-01-03 10:01:00,65.0,
2018-01-03,2018-01-03 10:07:00,75.0,
2018-01-03,2018-01-03 10:10:00,75.0,
2018-01-03,2018-01-03 10:19:00,70.0,
2018-01-03,2018-01-03 10:24:00,70.0,
2018-01-03,2018-01-03 10:32:00,70.0,
2018-01-03,2018-01-03 10:40:00,70.0,
2018-01-03,2018-01-03 10:47:00,70.0,
2018-01-03,2018-01-03 10:52:00,70.0,
2018-01-03,2018-01-03 11:03:00,70.0,
2018-01-03,2018-01-03 11:05:00,70.0,
2018-01-03,2018-01-03 11:12:00,70.0,
2018-01-03,2018-01-03 11:19:00,45.0,
2018-01-03,2018-01-03 11:29:00,45.0,
2018-01-03,2018-01-03 11:30:00,45.0,
2018-01-03,2018-01-03 11:32:00,45.0,
2018-01-03,2018-01-03 11:42:00,30.0,
2018-01-03,2018-01-03 11:18:00,,13.0
2018-01-03,2018-01-03 11:47:00,30.0,
2018-01-03,2018-01-03 11:56:00,30.0,
2018-01-03,2018-01-03 11:59:00,50.0,
2018-01-03,2018-01-03 12:03:00,50.0,
2018-01-03,2018-01-03 12:16:00,50.0,
2018-01-03,2018-01-03 12:17:00,50.0,
2018-01-03,2018-01-03 11:44:00,,33.0
2018-01-03,2018-01-03 12:26:00,50.0,
2018-01-03,2018-01-03 12:30:00,50.0,
2018-01-03,2018-01-03 12:40:00,50.0,
2018-01-03,2018-01-03 12:45:00,50.0,
2018-01-03,2018-01-03 12:52:00,50.0,
2018-01-03,2018-01-03 13:03:00,40.0,
2018-01-03,2018-01-03 13:03:00,40.0,
2018-01-03,2018-01-03 13:10:00,45.0,
2018-01-03,2018-01-03 13:12:00,50.0,
2018-01-03,2018-01-03 13:17:00,45.0,
2018-01-03,2018-01-03 13:24:00,60.0,
2018-01-03,2018-01-03 14:02:00,75.0,
2018-01-03,2018-01-03 14:05:00,75.0,
2018-01-03,2018-01-03 14:10:00,75.0,
2018-01-03,2018-01-03 14:15:00,75.0,
2018-01-03,2018-01-03 14:21:00,75.0,
2018-01-03,2018-01-03 14:24:00,75.0,
2018-01-03,2018-01-03 14:30:00,75.0,
2018-01-03,2018-01-03 14:40:00,75.0,
2018-01-03,2018-01-03 14:47:00,75.0,
2018-01-03,2018-01-03 14:56:00,75.0,
2018-01-03,2018-01-03 14:59:00,75.0,
2018-01-03,2018-01-03 15:13:00,75.0,
2018-01-03,2018-01-03 15:14:00,75.0,
2018-01-03,2018-01-03 15:19:00,75.0,
2018-01-03,2018-01-03 15:24:00,75.0,
2018-01-03,2018-01-03 15:30:00,75.0,
2018-01-03,2018-01-03 15:42:00,75.0,
2018-01-03,2018-01-03 15:49:00,75.0,
2018-01-03,2018-01-03 15:52:00,75.0,
2018-01-03,2018-01-03 14:15:00,,81.0
2018-01-03,2018-01-03 16:01:00,75.0,
2018-01-03,2018-01-03 16:03:00,75.0,
2018-01-03,2018-01-03 16:10:00,75.0,
2018-01-03,2018-01-03 16:17:00,75.0,
2018-01-03,2018-01-03 16:28:00,75.0,
2018-01-03,2018-01-03 16:30:00,75.0,
2018-01-03,2018-01-03 16:40:00,75.0,
2018-01-03,2018-01-03 16:45:00,75.0,
2018-01-03,2018-01-03 16:52:00,75.0,
2018-01-03,2018-01-03 17:01:00,75.0,
2018-01-03,2018-01-03 17:10:00,75.0,
2018-01-03,2018-01-03 17:11:00,75.0,
2018-01-03,2018-01-03 17:19:00,75.0,
2018-01-03,2018-01-03 17:24:00,75.0,
2018-01-03,2018-01-03 17:32:00,75.0,
2018-01-03,2018-01-03 17:40:00,85.0,
2018-01-03,2018-01-03 17:45:00,85.0,
2018-01-03,2018-01-03 17:58:00,85.0,
2018-01-03,2018-01-03 17:59:00,85.0,
2018-01-03,2018-01-03 18:05:00,85.0,
2018-01-03,2018-01-03 18:14:00,75.0,
2018-01-03,2018-01-03 18:19:00,75.0,
2018-01-03,2018-01-03 18:24:00,75.0,
2018-01-03,2018-01-03 18:30:00,60.0,
2018-01-03,2018-01-03 18:38:00,60.0,
2018-01-03,2018-01-03 18:47:00,60.0,
2018-01-03,2018-01-03 18:52:00,60.0,
2018-01-03,2018-01-03 18:59:00,60.0,
2018-01-03,2018-01-03 19:09:00,75.0,
2018-01-03,2018-01-03 19:12:00,75.0,
2018-01-03,2018-01-03 19:19:00,75.0,
2018-01-03,2018-01-03 19:24:00,75.0,
2018-01-03,2018-01-03 19:30:00,75.0,
2018-01-03,2018-01-03 19:38:00,45.0,
2018-01-03,2018-01-03 19:15:00,,31.0
2018-01-03,2018-01-03 19:47:00,45.0,
2018-01-03,2018-01-03 19:54:00,30.0,
2018-01-03,2018-01-03 19:59:00,30.0,
2018-01-03,2018-01-03 20:07:00,-999.0,
2018-01-04,2018-01-04 07:52:00,20.0,
2018-01-04,2018-01-04 07:59:00,20.0,
2018-01-04,2018-01-04 08:09:00,20.0,
2018-01-04,2018-01-04 08:12:00,20.0,
2018-01-04,2018-01-04 08:16:00,55.0,
2018-01-04,2018-01-04 08:17:00,45.0,
2018-01-04,2018-01-04 08:19:00,55.0,
2018-01-04,2018-01-04 08:26:00,55.0,
2018-01-04,2018-01-04 08:29:00,55.0,
2018-01-04,2018-01-04 08:32:00,55.0,
2018-01-04,2018-01-04 08:17:00,,18.0
2018-01-04,2018-01-04 08:42:00,65.0,
2018-01-04,2018-01-04 08:49:00,85.0,
2018-01-04,2018-01-04 08:29:00,,20.0
2018-01-04,2018-01-04 08:52:00,85.0,
2018-01-04,2018-01-04 09:01:00,85.0,
2018-01-04,2018-01-04 09:03:00,85.0,
2018-01-04,2018-01-04 09:06:00,85.0,
2018-01-04,2018-01-04 09:14:00,90.0,
2018-01-04,2018-01-04 09:17:00,90.0,
2018-01-04,2018-01-04 09:26:00,105.0,
2018-01-04,2018-01-04 09:26:00,105.0,
2018-01-04,2018-01-04 09:30:00,105.0,
2018-01-04,2018-01-04 09:40:00,105.0,
2018-01-04,2018-01-04 09:49:00,105.0,
2018-01-04,2018-01-04 09:54:00,105.0,
2018-01-04,2018-01-04 10:01:00,120.0,
2018-01-04,2018-01-04 10:05:00,120.0,
2018-01-04,2018-01-04 10:12:00,120.0,
2018-01-04,2018-01-04 10:17:00,120.0,
2018-01-04,2018-01-04 09:06:00,,64.0
2018-01-04,2018-01-04 10:22:00,120.0,
2018-01-04,2018-01-04 10:24:00,120.0,
2018-01-04,2018-01-04 10:32:00,120.0,
2018-01-04,2018-01-04 10:38:00,120.0,
2018-01-04,2018-01-04 10:47:00,120.0,
2018-01-04,2018-01-04 10:56:00,120.0,
2018-01-04,2018-01-04 11:03:00,90.0,
2018-01-04,2018-01-04 11:05:00,90.0,
2018-01-04,2018-01-04 11:07:00,90.0,
2018-01-04,2018-01-04 11:10:00,90.0,
2018-01-04,2018-01-04 11:17:00,90.0,
2018-01-04,2018-01-04 11:24:00,105.0,
2018-01-04,2018-01-04 11:34:00,120.0,
2018-01-04,2018-01-04 11:44:00,120.0,
2018-01-04,2018-01-04 11:45:00,120.0,
2018-01-04,2018-01-04 11:54:00,120.0,
2018-01-04,2018-01-04 12:05:00,120.0,
2018-01-04,2018-01-04 12:05:00,120.0,
2018-01-04,2018-01-04 12:10:00,120.0,
2018-01-04,2018-01-04 12:19:00,120.0,
2018-01-04,2018-01-04 12:24:00,120.0,
2018-01-04,2018-01-04 12:29:00,120.0,
2018-01-04,2018-01-04 12:32:00,120.0,
2018-01-04,2018-01-04 12:38:00,120.0,
2018-01-04,2018-01-04 12:45:00,120.0,
2018-01-04,2018-01-04 12:52:00,120.0,
2018-01-04,2018-01-04 13:01:00,150.0,
2018-01-04,2018-01-04 13:03:00,150.0,
2018-01-04,2018-01-04 13:12:00,150.0,
2018-01-04,2018-01-04 13:17:00,150.0,
2018-01-04,2018-01-04 13:24:00,150.0,
2018-01-04,2018-01-04 13:30:00,180.0,
2018-01-04,2018-01-04 13:40:00,180.0,
2018-01-04,2018-01-04 13:45:00,180.0,
2018-01-04,2018-01-04 13:52:00,180.0,
2018-01-04,2018-01-04 13:59:00,180.0,
2018-01-04,2018-01-04 14:03:00,180.0,
2018-01-04,2018-01-04 14:10:00,180.0,
2018-01-04,2018-01-04 14:17:00,180.0,
2018-01-04,2018-01-04 14:24:00,180.0,
2018-01-04,2018-01-04 14:30:00,180.0,
2018-01-04,2018-01-04 14:31:00,180.0,
2018-01-04,2018-01-04 14:38:00,180.0,
2018-01-04,2018-01-04 14:45:00,180.0,
2018-01-04,2018-01-04 14:54:00,180.0,
2018-01-04,2018-01-04 15:01:00,180.0,
